pair,fmt,I,rmse,rate_Hz
16bits,float16,-0.255639097744361,9.627591298018408e+18,0.0
16bits,posit16,-0.255639097744361,9.627591298018408e+18,0.0
16bits,float16,-0.2456140350877194,3.456058414612635e+18,0.0
16bits,posit16,-0.2456140350877194,3.456058414612635e+18,0.0
16bits,float16,-0.2355889724310778,2.715474469002544e+18,0.0
16bits,posit16,-0.2355889724310778,2.715474469002544e+18,0.0
16bits,float16,-0.2255639097744362,8.887007352295241e+18,0.0
16bits,posit16,-0.2255639097744362,8.887007352295241e+18,0.0
16bits,float16,-0.21553884711779459,1.5058540235036183e+19,0.0
16bits,posit16,-0.21553884711779459,9.565875969399038e+18,0.0
16bits,float16,-0.20551378446115298,2.123007311847338e+19,0.0
16bits,posit16,-0.20551378446115298,3.394343085780532e+18,0.0
16bits,float16,-0.19548872180451138,2.1847226406052536e+19,0.0
16bits,posit16,-0.19548872180451138,2.777189797598834e+18,0.0
16bits,float16,-0.18546365914786977,1.5675693523810834e+19,0.0
16bits,posit16,-0.18546365914786977,8.948722680708068e+18,0.0
16bits,float16,-0.17543859649122817,9.504160640317094e+18,0.0
16bits,posit16,-0.17543859649122817,9.504160640317094e+18,0.0
16bits,float16,-0.16541353383458657,3.3326277564728515e+18,0.0
16bits,posit16,-0.16541353383458657,3.3326277564728515e+18,0.0
16bits,float16,-0.15538847117794496,2.8389051264481167e+18,0.0
16bits,posit16,-0.15538847117794496,2.8389051264481167e+18,0.0
16bits,float16,-0.14536340852130336,9.010438009862944e+18,0.0
16bits,posit16,-0.14536340852130336,9.010438009862944e+18,0.0
16bits,float16,-0.13533834586466176,1.5181970892974625e+19,0.0
16bits,posit16,-0.13533834586466176,9.442445311507028e+18,0.0
16bits,float16,-0.12531328320802015,2.1353503776117354e+19,0.0
16bits,posit16,-0.12531328320802015,3.2709124285010063e+18,0.0
16bits,float16,-0.11528822055137855,2.900620455109633e+18,0.0
16bits,posit16,-0.11528822055137855,2.900620455109633e+18,0.0
16bits,float16,-0.10526315789473695,9.072153338051052e+18,0.0
16bits,posit16,-0.10526315789473695,3.240054763872489e+18,0.0
16bits,float16,-0.09523809523809534,9.3807299824454e+18,0.0
16bits,posit16,-0.09523809523809534,2.9314781194485217e+18,0.0
16bits,float16,-0.08521303258145374,3.2091970993762734e+18,0.0
16bits,posit16,-0.08521303258145374,3.2091970993762734e+18,0.0
16bits,float16,-0.07518796992481214,2.96233578369776e+18,0.0
16bits,posit16,-0.07518796992481214,2.96233578369776e+18,0.0
16bits,float16,-0.06516290726817053,9.133868667293306e+18,0.0
16bits,posit16,-0.06516290726817053,3.1783394348872637e+18,0.0
16bits,float16,-0.05513784461152893,2.993193448275305e+18,0.0
16bits,posit16,-0.05513784461152893,2.993193448275305e+18,0.0
16bits,float16,-0.04511278195488733,3.1474817706230354e+18,0.0
16bits,posit16,-0.04511278195488733,3.1474817706230354e+18,0.0
16bits,float16,-0.03508771929824572,3.0240511128365665e+18,0.0
16bits,posit16,-0.03508771929824572,3.0240511128365665e+18,0.0
16bits,float16,-0.02506265664160412,3.0394799450377646e+18,0.0
16bits,posit16,-0.02506265664160412,3.0394799450377646e+18,0.0
16bits,float16,-0.015037593984962516,2.3143248370581428e+16,0.0
16bits,posit16,-0.015037593984962516,2.3143248370581428e+16,0.0
16bits,float16,-0.005012531328320913,7714416144566492.0,0.0
16bits,posit16,-0.005012531328320913,7714416144566492.0,0.0
16bits,float16,0.005012531328320691,8.629174834248334e-06,138.0
16bits,posit16,0.005012531328320691,8.629174834248334e-06,138.0
16bits,float16,0.015037593984962072,1.1153263616912182e-05,186.0
16bits,posit16,0.015037593984962072,1.1153263616912182e-05,186.0
16bits,float16,0.025062656641603898,0.0009711252156154796,220.0
16bits,posit16,0.025062656641603898,0.0009711252156154796,220.0
16bits,float16,0.03508771929824572,0.0007141092509132954,248.0
16bits,posit16,0.03508771929824572,0.0007141092509132954,248.0
16bits,float16,0.045112781954887105,0.000553544976089269,276.0
16bits,posit16,0.045112781954887105,0.000553544976089269,276.0
16bits,float16,0.055137844611528486,0.0004412154067234625,294.0
16bits,posit16,0.055137844611528486,0.0004412154067234625,294.0
16bits,float16,0.06516290726817031,0.0010957320247190487,312.0
16bits,posit16,0.06516290726817031,0.0003812851302244121,312.0
16bits,float16,0.07518796992481214,0.0003158604098156521,322.0
16bits,posit16,0.07518796992481214,0.0003158604098156521,322.0
16bits,float16,0.08521303258145352,0.0003021370655013838,332.0
16bits,posit16,0.08521303258145352,0.0003021370655013838,332.0
16bits,float16,0.0952380952380949,0.0007687443088261302,344.0
16bits,posit16,0.0952380952380949,0.000240232596526466,344.0
16bits,float16,0.10526315789473673,0.0006377178359981324,356.0
