I,type,rmse_spike,total_spikes,firing_rate,sparsity
-3.895895895895896,posit32,0.0,0,0.0,1.0
-3.8878878878878878,float64,0.0,0,0.0,1.0
-3.8878878878878878,float32,0.0,0,0.0,1.0
-3.8878878878878878,float16,0.0,0,0.0,1.0
-3.8878878878878878,posit16,0.0,0,0.0,1.0
-3.8878878878878878,posit20,0.0,0,0.0,1.0
-3.8878878878878878,posit24,0.0,0,0.0,1.0
-3.8878878878878878,posit32,0.0,0,0.0,1.0
-3.87987987987988,float64,0.0,0,0.0,1.0
-3.87987987987988,float32,0.0,0,0.0,1.0
-3.87987987987988,float16,0.0,0,0.0,1.0
-3.87987987987988,posit16,0.0,0,0.0,1.0
-3.87987987987988,posit20,0.0,0,0.0,1.0
-3.87987987987988,posit24,0.0,0,0.0,1.0
-3.87987987987988,posit32,0.0,0,0.0,1.0
-3.871871871871872,float64,0.0,0,0.0,1.0
-3.871871871871872,float32,0.0,0,0.0,1.0
-3.871871871871872,float16,0.0,0,0.0,1.0
-3.871871871871872,posit16,0.0,0,0.0,1.0
-3.871871871871872,posit20,0.0,0,0.0,1.0
-3.871871871871872,posit24,0.0,0,0.0,1.0
-3.871871871871872,posit32,0.0,0,0.0,1.0
-3.863863863863864,float64,0.0,0,0.0,1.0
-3.863863863863864,float32,0.0,0,0.0,1.0
-3.863863863863864,float16,0.0,0,0.0,1.0
-3.863863863863864,posit16,0.0,0,0.0,1.0
-3.863863863863864,posit20,0.0,0,0.0,1.0
-3.863863863863864,posit24,0.0,0,0.0,1.0
-3.863863863863864,posit32,0.0,0,0.0,1.0
-3.855855855855856,float64,0.0,0,0.0,1.0
-3.855855855855856,float32,0.0,0,0.0,1.0
-3.855855855855856,float16,0.0,0,0.0,1.0
-3.855855855855856,posit16,0.0,0,0.0,1.0
-3.855855855855856,posit20,0.0,0,0.0,1.0
-3.855855855855856,posit24,0.0,0,0.0,1.0
-3.855855855855856,posit32,0.0,0,0.0,1.0
-3.8478478478478477,float64,0.0,0,0.0,1.0
-3.8478478478478477,float32,0.0,0,0.0,1.0
-3.8478478478478477,float16,0.0,0,0.0,1.0
-3.8478478478478477,posit16,0.0,0,0.0,1.0
-3.8478478478478477,posit20,0.0,0,0.0,1.0
-3.8478478478478477,posit24,0.0,0,0.0,1.0
-3.8478478478478477,posit32,0.0,0,0.0,1.0
-3.83983983983984,float64,0.0,0,0.0,1.0
-3.83983983983984,float32,0.0,0,0.0,1.0
-3.83983983983984,float16,0.0,0,0.0,1.0
-3.83983983983984,posit16,0.0,0,0.0,1.0
-3.83983983983984,posit20,0.0,0,0.0,1.0
-3.83983983983984,posit24,0.0,0,0.0,1.0
-3.83983983983984,posit32,0.0,0,0.0,1.0
-3.831831831831832,float64,0.0,0,0.0,1.0
-3.831831831831832,float32,0.0,0,0.0,1.0
-3.831831831831832,float16,0.0,0,0.0,1.0
-3.831831831831832,posit16,0.0,0,0.0,1.0
-3.831831831831832,posit20,0.0,0,0.0,1.0
