Tiempo (ms),Voltaje (mV)
161.29999999999998,-55.69226908720582
161.4,-55.54919077807788
161.5,-55.404681685858655
161.60000000000002,-55.25872750271724
161.70000000000002,-55.111313777744414
161.79999999999998,-54.962425915521855
161.9,-54.81204917467707
162.0,-54.66016866642384
162.1,-54.50676935308808
162.20000000000002,-54.35183604661896
162.29999999999998,-54.19535340708516
162.4,-54.037305941156006
162.5,-53.87767800056756
162.6,-53.71645378057324
162.70000000000002,-53.553617318378976
162.79999999999998,-53.38915249156276
162.9,-53.22304301647839
163.0,-53.05527244664317
163.1,-52.885824171109604
163.20000000000002,-52.7146814128207
163.3,-52.54182722694891
163.4,-52.367244499218394
163.5,-52.19091594421058
163.6,-52.01282410365269
163.70000000000002,-51.832951344689214
163.8,-51.651279858136114
163.9,-51.46779165671747
164.0,-51.282468573284646
164.1,-51.0952922590175
164.20000000000002,-50.90624418160767
164.3,-50.715305623423745
164.4,-50.52245767965798
164.5,-50.32768125645456
164.6,-50.13095706901911
164.70000000000002,-60.0
164.8,-59.899998999999994
164.9,-59.79899799
165.0,-59.6969869699
165.1,-59.593955839599
165.20000000000002,-59.48989439799499
165.3,-59.38479234197493
165.4,-59.27863926539468
165.5,-59.17142465804862
165.6,-59.06313790462911
165.70000000000002,-58.9537682836754
165.8,-58.84330496651215
165.9,-58.73173701617727
166.0,-58.61905338633905
166.1,-58.50524292020244
166.20000000000002,-58.39029434940446
166.3,-58.27419629289851
166.4,-58.15693725582749
166.5,-58.03850562838577
166.6,-57.91888968466963
166.70000000000002,-57.798077581516324
166.8,-57.67605735733149
166.9,-57.552816930904804
167.0,-57.42834410021385
167.1,-57.30262654121599
167.20000000000002,-57.17565180662815
167.3,-57.04740732469443
167.4,-56.917880397941374
167.5,-56.78705820192079
167.6,-56.65492778394
167.70000000000002,-56.5214760617794
167.8,-56.386689822397194
167.9,-56.250555720621165
168.0,-56.11306027782738
168.1,-55.97418988060565
168.20000000000002,-55.8339307794117
168.3,-55.69226908720582
168.4,-55.54919077807788
168.5,-55.404681685858655
168.6,-55.25872750271724
168.70000000000002,-55.111313777744414
168.8,-54.962425915521855
168.89999999999998,-54.81204917467707
169.0,-54.66016866642384
169.1,-54.50676935308808
169.20000000000002,-54.35183604661896
169.3,-54.19535340708516
169.4,-54.037305941156006
169.5,-53.87767800056756
169.6,-53.71645378057324
169.70000000000002,-53.553617318378976
169.8,-53.38915249156276
169.9,-53.22304301647839
170.0,-53.05527244664317
170.1,-52.885824171109604
170.20000000000002,-52.7146814128207
170.3,-52.54182722694891
170.4,-52.367244499218394
170.5,-52.19091594421058
170.6,-52.01282410365269
170.70000000000002,-51.832951344689214
170.8,-51.651279858136114
170.9,-51.46779165671747
171.0,-51.282468573284646
