Tiempo (ms),Voltaje (mV)
313.5,-58.038505628386346
313.59999999999997,-57.91888968467024
313.70000000000005,-57.79807758151697
313.8,-57.67605735733216
313.90000000000003,-57.552816930905514
314.0,-57.4283441002146
314.09999999999997,-57.302626541216775
314.20000000000005,-57.17565180662897
314.3,-57.04740732469529
314.40000000000003,-56.91788039794227
314.5,-56.787058201921724
314.59999999999997,-56.65492778394097
314.70000000000005,-56.521476061780405
314.8,-56.38668982239824
314.90000000000003,-56.25055572062226
315.0,-56.11306027782851
315.09999999999997,-55.97418988060682
315.20000000000005,-55.83393077941292
315.3,-55.69226908720707
315.40000000000003,-55.54919077807917
315.5,-55.40468168586
315.59999999999997,-55.25872750271862
315.70000000000005,-55.11131377774584
315.8,-54.962425915523326
315.90000000000003,-54.812049174678585
316.0,-54.6601686664254
316.09999999999997,-54.50676935308969
316.20000000000005,-54.35183604662061
316.3,-54.19535340708684
316.40000000000003,-54.03730594115774
316.5,-53.87767800056935
316.59999999999997,-53.716453780575065
316.70000000000005,-53.553617318380844
316.8,-53.38915249156469
316.90000000000003,-53.22304301648036
317.0,-53.05527244664519
317.09999999999997,-52.88582417111167
317.20000000000005,-52.71468141282281
317.3,-52.54182722695107
317.40000000000003,-52.36724449922062
317.5,-52.19091594421285
317.59999999999997,-52.01282410365501
317.70000000000005,-51.83295134469158
317.8,-51.65127985813852
317.90000000000003,-51.46779165671994
318.0,-51.28246857328716
318.09999999999997,-51.09529225902006
318.20000000000005,-50.90624418161029
318.3,-50.715305623426424
318.40000000000003,-50.52245767966072
318.5,-50.32768125645735
318.59999999999997,-50.13095706902196
318.70000000000005,-60.0
318.8,-59.89999900000002
318.90000000000003,-59.79899799000005
319.0,-59.69698696990008
319.09999999999997,-59.59395583959912
319.20000000000005,-59.48989439799514
319.3,-59.38479234197512
319.40000000000003,-59.2786392653949
319.5,-59.17142465804888
319.59999999999997,-59.06313790462939
319.70000000000005,-58.953768283675714
319.8,-58.8433049665125
319.90000000000003,-58.731737016177654
320.0,-58.61905338633946
320.09999999999997,-58.505242920202875
320.20000000000005,-58.39029434940494
320.3,-58.27419629289901
320.40000000000003,-58.15693725582803
320.5,-58.038505628386346
320.59999999999997,-57.91888968467024
320.70000000000005,-57.79807758151697
320.8,-57.67605735733216
320.90000000000003,-57.552816930905514
321.0,-57.4283441002146
321.09999999999997,-57.302626541216775
321.20000000000005,-57.17565180662897
321.3,-57.04740732469529
321.40000000000003,-56.91788039794227
321.5,-56.787058201921724
321.59999999999997,-56.65492778394097
321.70000000000005,-56.521476061780405
321.8,-56.38668982239824
321.90000000000003,-56.25055572062226
322.0,-56.11306027782851
322.09999999999997,-55.97418988060682
322.20000000000005,-55.83393077941292
322.3,-55.69226908720707
322.40000000000003,-55.54919077807917
322.5,-55.40468168586
322.59999999999997,-55.25872750271862
322.70000000000005,-55.11131377774584
322.8,-54.962425915523326
322.90000000000003,-54.812049174678585
323.0,-54.6601686664254
323.09999999999997,-54.50676935308969
323.20000000000005,-54.35183604662061
323.3,-54.19535340708684
323.40000000000003,-54.03730594115774
323.5,-53.87767800056935
323.59999999999997,-53.716453780575065
323.70000000000005,-53.553617318380844
323.8,-53.38915249156469
323.90000000000003,-53.22304301648036
324.0,-53.05527244664519
324.09999999999997,-52.88582417111167
324.2,-52.71468141282281
324.3,-52.54182722695107
324.40000000000003,-52.36724449922062
324.5,-52.19091594421285
324.59999999999997,-52.01282410365501
324.7,-51.83295134469158
324.8,-51.65127985813852
324.90000000000003,-51.46779165671994
325.0,-51.28246857328716
325.09999999999997,-51.09529225902006
325.2,-50.90624418161029
325.3,-50.715305623426424
325.40000000000003,-50.52245767966072
325.5,-50.32768125645735
325.59999999999997,-50.13095706902196
325.7,-60.0
325.8,-59.89999900000002
325.90000000000003,-59.79899799000005
326.0,-59.69698696990008
326.09999999999997,-59.59395583959912
326.2,-59.48989439799514
326.3,-59.38479234197512
326.40000000000003,-59.2786392653949
326.5,-59.17142465804888
326.6,-59.06313790462939
326.7,-58.953768283675714
326.8,-58.8433049665125
326.90000000000003,-58.731737016177654
327.0,-58.61905338633946
327.1,-58.505242920202875
327.2,-58.39029434940494
327.3,-58.27419629289901
327.40000000000003,-58.15693725582803
327.5,-58.038505628386346
327.6,-57.91888968467024
327.7,-57.79807758151697
327.8,-57.67605735733216
327.90000000000003,-57.552816930905514
328.0,-57.4283441002146
328.1,-57.302626541216775
328.2,-57.17565180662897
328.3,-57.04740732469529
328.40000000000003,-56.91788039794227
328.5,-56.787058201921724
328.6,-56.65492778394097
328.7,-56.521476061780405
328.8,-56.38668982239824
328.90000000000003,-56.25055572062226
329.0,-56.11306027782851
329.1,-55.97418988060682
329.2,-55.83393077941292
329.3,-55.69226908720707
329.40000000000003,-55.54919077807917
329.5,-55.40468168586
329.6,-55.25872750271862
329.7,-55.11131377774584
329.8,-54.962425915523326
329.90000000000003,-54.812049174678585
330.0,-54.6601686664254
330.1,-54.50676935308969
330.2,-54.35183604662061
330.3,-54.19535340708684
330.40000000000003,-54.03730594115774
330.5,-53.87767800056935
330.6,-53.716453780575065
330.7,-53.553617318380844
330.8,-53.38915249156469
330.90000000000003,-53.22304301648036
331.0,-53.05527244664519
331.1,-52.88582417111167
331.2,-52.71468141282281
331.3,-52.54182722695107
331.40000000000003,-52.36724449922062
331.5,-52.19091594421285
331.6,-52.01282410365501
331.7,-51.83295134469158
331.8,-51.65127985813852
331.90000000000003,-51.46779165671994
332.0,-51.28246857328716
332.1,-51.09529225902006
332.2,-50.90624418161029
332.3,-50.715305623426424
332.40000000000003,-50.52245767966072
332.5,-50.32768125645735
332.6,-50.13095706902196
332.7,-60.0
332.8,-59.89999900000002
332.90000000000003,-59.79899799000005
333.0,-59.69698696990008
333.1,-59.59395583959912
333.2,-59.48989439799514
333.3,-59.38479234197512
333.40000000000003,-59.2786392653949
333.5,-59.17142465804888
333.6,-59.06313790462939
333.7,-58.953768283675714
333.8,-58.8433049665125
333.90000000000003,-58.731737016177654
334.0,-58.61905338633946
334.1,-58.505242920202875
334.2,-58.39029434940494
334.3,-58.27419629289901
334.40000000000003,-58.15693725582803
334.5,-58.038505628386346
334.6,-57.91888968467024
334.7,-57.79807758151697
334.8,-57.67605735733216
334.90000000000003,-57.552816930905514
335.0,-57.4283441002146
335.1,-57.302626541216775
335.2,-57.17565180662897
335.3,-57.04740732469529
335.40000000000003,-56.91788039794227
335.5,-56.787058201921724
335.6,-56.65492778394097
335.7,-56.521476061780405
335.8,-56.38668982239824
335.90000000000003,-56.25055572062226
336.0,-56.11306027782851
336.1,-55.97418988060682
336.2,-55.83393077941292
336.3,-55.69226908720707
336.40000000000003,-55.54919077807917
336.5,-55.40468168586
336.6,-55.25872750271862
336.7,-55.11131377774584
336.8,-54.962425915523326
336.90000000000003,-54.812049174678585
337.0,-54.6601686664254
337.1,-54.50676935308969
337.2,-54.35183604662061
337.29999999999995,-54.19535340708684
337.40000000000003,-54.03730594115774
