I_nA,tau_ms,V_th_mV,g_leak_nS,n_spikes,t_first_ms
4.0,20,-50,2.0,1999,0.1
4.0,20,-50,5.0,666,0.4
4.0,20,-45,0.5,2000,0.0
4.0,20,-45,1.0,1999,0.1
4.0,20,-45,2.0,999,0.2
4.0,20,-45,5.0,499,0.6000000000000001
4.0,20,-40,0.5,2000,0.0
4.0,20,-40,1.0,1999,0.1
4.0,20,-40,2.0,999,0.2
4.0,20,-40,5.0,399,0.7
4.0,50,-55,0.5,2000,0.0
4.0,50,-55,1.0,1999,0.1
4.0,50,-55,2.0,999,0.30000000000000004
4.0,50,-55,5.0,498,0.9
4.0,50,-50,0.5,1999,0.1
4.0,50,-50,1.0,999,0.2
4.0,50,-50,2.0,666,0.4
4.0,50,-50,5.0,284,1.2000000000000002
4.0,50,-45,0.5,1999,0.1
4.0,50,-45,1.0,999,0.30000000000000004
4.0,50,-45,2.0,499,0.6000000000000001
4.0,50,-45,5.0,199,1.5
4.0,50,-40,0.5,1000,0.1
4.0,50,-40,1.0,666,0.30000000000000004
4.0,50,-40,2.0,399,0.7
4.0,50,-40,5.0,153,1.8
